loc_key,date,cases_total,air_quality_Sulphur_dioxide,air_quality_gb-defra-index,air_quality_Ozone,air_quality_Carbon_Monoxide,air_quality_Nitrogen_dioxide,air_quality_PM10,air_quality_us-epa-index,air_quality_PM2.5,year,month,week,dow,is_weekend,is_monsoon,is_winter,is_summer,event_flag,cases_total_lag1,cases_total_lag7,cases_total_lag14,cases_total_rollmean_7,cases_total_rollmean_14
loc1,2020-01-01,29,37.416821842206396,1,62.83472498392951,0.790986167354435,24.101676508440693,27.469906613886252,3,43.56160791670777,2020,1,1,2,0,0,1,0,0,,,,,
loc2,2020-01-02,28,20.569833300249936,9,25.010903679324684,0.6974888798663004,40.61461475867334,14.142257575662946,1,77.65636961261579,2020,1,1,3,0,0,1,0,0,29.0,,,,
loc3,2020-01-03,21,37.216282760188946,6,12.861618139570485,0.597817334720074,75.62947530118647,114.61675185102673,3,95.41257688443226,2020,1,1,4,0,0,1,0,0,28.0,,,,
loc3,2020-01-04,35,42.74562130424471,6,39.020895263168725,0.6668659561180674,24.1596686900981,27.256833700159874,2,12.81790492977316,2020,1,1,5,1,0,1,0,0,21.0,,,,
loc3,2020-01-05,28,15.35642795624579,3,79.3951934281845,0.5098529474092043,38.82300121246244,17.95650914768236,4,51.1646359143623,2020,1,1,6,1,0,1,0,0,35.0,,,,
loc2,2020-01-06,21,6.14234655072676,6,74.40578860984837,1.5112861660616828,17.83319004414669,62.297517244601174,1,56.47691128837921,2020,1,2,0,0,0,1,0,0,28.0,,,,
loc2,2020-01-07,34,2.5071376399074414,6,10.0874068248179,0.26797205472498375,44.36749948642773,12.254789386487754,3,62.6035710049941,2020,1,2,1,0,0,1,0,0,21.0,,,28.0,
loc2,2020-01-08,24,19.913533718303533,8,37.331152763310754,1.8866721621524605,51.49620268260968,146.96598938778868,1,21.468556882351972,2020,1,2,2,0,0,1,0,0,34.0,29.0,,27.285714285714285,
loc1,2020-01-09,20,44.427069098244296,9,42.93819465176546,0.18990748565112964,55.63390964342239,121.8189426543707,2,58.35444091375374,2020,1,2,3,0,0,1,0,0,24.0,28.0,,26.142857142857142,
loc2,2020-01-10,27,44.460233310809606,2,43.204216044480006,0.8159957805066311,74.00978105899424,93.94093456794515,2,23.682226451871003,2020,1,2,4,0,0,1,0,0,20.0,21.0,,27.0,
loc2,2020-01-11,33,39.04544475257158,8,80.29810299792848,0.9772324523933815,26.423561788979754,106.65668511313586,3,81.62342185566806,2020,1,2,5,1,0,1,0,0,27.0,35.0,,26.714285714285715,
loc3,2020-01-12,27,22.83289965698627,9,41.64801980129429,1.438954932001642,21.04822235573718,59.789338642866035,1,82.79122817967543,2020,1,2,6,1,0,1,0,1,33.0,28.0,,26.571428571428573,
loc2,2020-01-13,33,11.656306443349466,1,43.30775407471896,0.5589046657446036,25.770057752484497,91.60250013252409,1,26.27514402254193,2020,1,3,0,0,0,1,0,0,27.0,21.0,,28.285714285714285,
loc3,2020-01-14,24,8.525898662106355,6,9.183019443620452,0.7153855265155133,35.611787121035384,28.887876583847216,3,6.291651303502746,2020,1,3,1,0,0,1,0,0,33.0,34.0,,26.857142857142858,27.428571428571427
loc2,2020-01-15,30,9.001552636551072,4,69.73962559168791,0.9375742369927417,47.19829023147834,73.68652002317918,2,62.63255976461433,2020,1,3,2,0,0,1,0,0,24.0,24.0,29.0,27.714285714285715,27.5
loc2,2020-01-16,24,33.8035904458848,8,12.469889588193713,1.871781402093109,15.256167619199813,92.02577683058065,1,52.46820924078947,2020,1,3,3,0,0,1,0,0,30.0,20.0,28.0,28.285714285714285,27.214285714285715
loc2,2020-01-17,33,13.888761533278576,6,75.11523737701454,1.4361643282954784,23.52447193094137,52.69352963933448,4,41.65185725628672,2020,1,3,4,0,0,1,0,1,24.0,27.0,21.0,29.142857142857142,28.071428571428573
loc1,2020-01-18,30,40.570967840081586,9,38.76050265772617,1.0123230427870216,17.875140627587953,85.86934629384778,4,94.21995647958347,2020,1,3,5,1,0,1,0,0,33.0,33.0,35.0,28.714285714285715,27.714285714285715
loc1,2020-01-19,22,29.391875635804276,5,16.4473660835469,1.3974318830991974,77.89850288942128,12.967113612221418,4,57.76629743379772,2020,1,3,6,1,0,1,0,0,30.0,27.0,28.0,28.0,27.285714285714285
loc3,2020-01-20,33,26.20343999073688,5,6.676296014499332,0.16682985868073064,20.900347851444764,99.0792466956009,4,98.6735772891174,2020,1,4,0,0,0,1,0,0,22.0,33.0,21.0,28.0,28.142857142857142
loc2,2020-01-21,23,23.45027060796577,7,87.53162100126426,0.49868323380577007,12.098144236318868,86.5640640293699,4,77.0450516402521,2020,1,4,1,0,0,1,0,1,33.0,24.0,34.0,27.857142857142858,27.357142857142858
loc1,2020-01-22,32,34.026061744561424,4,58.675022903003494,0.6801944021681895,13.782327639781617,107.35483765079346,4,45.598992968552146,2020,1,4,2,0,0,1,0,0,23.0,30.0,24.0,28.142857142857142,27.928571428571427
loc2,2020-01-23,29,3.38522852346752,8,80.37195580141913,1.1441031970341196,63.129322826825984,93.80349350191823,4,40.93505651139378,2020,1,4,3,0,0,1,0,0,32.0,24.0,20.0,28.857142857142858,28.571428571428573
loc2,2020-01-24,36,39.103140773658325,8,50.56868526007782,1.342826819018309,69.58504713980352,103.21378821993466,2,24.096651736840453,2020,1,4,4,0,0,1,0,0,29.0,33.0,27.0,29.285714285714285,29.214285714285715
loc1,2020-01-25,33,31.12368994438792,7,33.113787956928,1.9964860574759695,52.27159209290254,36.13806308514593,2,82.8641755337485,2020,1,4,5,1,0,1,0,0,36.0,30.0,33.0,29.714285714285715,29.214285714285715
loc1,2020-01-26,28,24.960149515471613,2,88.47050355681566,1.8571441090255434,23.530344418866218,71.07862253748706,3,54.26099278029151,2020,1,4,6,1,0,1,0,0,33.0,22.0,27.0,30.571428571428573,29.285714285714285
loc3,2020-01-27,30,33.747604984811915,5,25.148809384089695,1.3430739469854611,54.82818305726884,14.019519783904888,1,55.404874215979746,2020,1,5,0,0,0,1,0,0,28.0,33.0,33.0,30.142857142857142,29.071428571428573
loc2,2020-01-28,39,34.704345969336806,3,85.76822526809279,0.7784053923705545,16.22013998151725,55.17082446140116,1,94.44457048918278,2020,1,5,1,0,0,1,0,0,30.0,23.0,24.0,32.42857142857143,30.142857142857142
